# Ultra-dense + color (420544 points)
# Format: x y r g b
#
0.989258 1.060000 0.0000 0.0000 0.0000
0.993750 1.060000 0.0000 0.0000 0.0000
0.998242 1.060000 0.0000 0.0000 0.0000
-0.998242 1.057754 0.0000 0.0000 0.0000
-0.993750 1.057754 0.0000 0.0000 0.0000
-0.989258 1.057754 0.0000 0.0000 0.0000
-0.984767 1.057754 0.0000 0.0000 0.0000
-0.980275 1.057754 0.0000 0.0000 0.0000
-0.975784 1.057754 0.0000 0.0000 0.0000
-0.971292 1.057754 0.0000 0.0000 0.0000
-0.966801 1.057754 0.0000 0.0000 0.0000
-0.962309 1.057754 0.0000 0.0000 0.0000
-0.957818 1.057754 0.0000 0.0000 0.0000
-0.953326 1.057754 0.0000 0.0000 0.0000
-0.948835 1.057754 0.0000 0.0000 0.0000
-0.944343 1.057754 0.0000 0.0000 0.0000
-0.939852 1.057754 0.0000 0.0000 0.0000
-0.935360 1.057754 0.0000 0.0000 0.0000
-0.930869 1.057754 0.0000 0.0000 0.0000
-0.926377 1.057754 0.0000 0.0000 0.0000
-0.921886 1.057754 0.0000 0.0000 0.0000
-0.917394 1.057754 0.0000 0.0000 0.0000
-0.912903 1.057754 0.0000 0.0000 0.0000
-0.908411 1.057754 0.0000 0.0000 0.0000
-0.903919 1.057754 0.0000 0.0000 0.0000
-0.899428 1.057754 0.0000 0.0000 0.0000
-0.894936 1.057754 0.0000 0.0000 0.0000
-0.890445 1.057754 0.0000 0.0000 0.0000
-0.885953 1.057754 0.0000 0.0000 0.0000
-0.881462 1.057754 0.0000 0.0000 0.0000
-0.876970 1.057754 0.0000 0.0000 0.0000
-0.872479 1.057754 0.0000 0.0000 0.0000
-0.867987 1.057754 0.0000 0.0000 0.0000
-0.863496 1.057754 0.0000 0.0000 0.0000
-0.859004 1.057754 0.0000 0.0000 0.0000
-0.854513 1.057754 0.0000 0.0000 0.0000
-0.850021 1.057754 0.0000 0.0000 0.0000
-0.845530 1.057754 0.0000 0.0000 0.0000
-0.841038 1.057754 0.0000 0.0000 0.0000
-0.836547 1.057754 0.0000 0.0000 0.0000
-0.832055 1.057754 0.0000 0.0000 0.0000
-0.827564 1.057754 0.0000 0.0000 0.0000
